,Book 1,Book 2,Book 3,Book 4,Book 5,Book 6,Book 7,Book 8,Book 9,Book 10,Book 11,Book 12
line29,That times to come shou'd see the Trojan Race,"Renown'd for Wealth, but since a faithless Bay,","To Dionaean Venus Vows are paid,","And to confess my Frailty, to my shame,","Nor can our shaken Vessels live at Sea,","And next to these the dreadful Urn was plac'd,","Shou'd bear, or touch upon th' inchanted Coast;",Beholds the Tempest which his Foes prepare.,Now march the bold Confed'rates thro' the Plain;,"In Fields, unpunish'd, and insult my Care?",Prepar'd in Arms pursue your happy Chance;,"To him the Crown, and beauteous Bride remain."
line30,"Her Carthage ruin, and her Tow'rs deface:",Where Ships expos'd to Wind and Weather lay.,And all the Pow'rs that rising Labours aid;,"Somewhat I find within, if not the same,",Much less against the Tempest force their way;,In which the destin'd Name by Lots were cast:,"Propitious Neptune steer'd their Course by Night,",This way and that he turns his anxious Mind;,"Well hors'd, well clad, a rich and shining Train:","How lofty Turnus vaunts amidst his Train,",That none unwarn'd may plead his Ignorance:,To whom the King sedately thus reply'd;
line31,"Nor thus confin'd, the Yoke of Sov'raign Sway,",There was their Fleet conceal'd: We thought for Greece,A Bull on Jove's Imperial Altar laid.,Too like the Sparkles of my former Flame.,'Tis Fate diverts our Course; and Fate we must obey.,The mournful Parents stand around in Tears;,"With rising Gales, that sped their happy Flight.","Thinks, and rejects the Counsels he design'd.","Messapus leads the Van; and in the Reer,","In shining Arms, triumphant on the Plain?","And I, at Heav'n's appointed Hour, may find","Brave Youth, the more your Valour has been try'd,"
line32,Should on the Necks of all the Nations lay.,"Their Sails were hoisted, and our Fears release.","Not far, a rising Hillock stood in view;",But first let yawning Earth a Passage rend;,"Not far from hence, if I observ'd aright",And rising Creet against their Shore appears.,"Supply'd with these, they skim the sounding Shore,","Explores himself in vain, in ev'ry part,",The Sons of Tyrrheus in bright Arms appear.,Ev'n in their Lines and Trenches they contend;,Your warlike Ensigns waving in the Wind.,"The more becomes it us, with due Respect"
line33,"She ponder'd this, and fear'd it was in Fate;","The Trojans coop'd within their Walls so long,","Sharp Myrtles, on the sides, and Cornels grew.",And let me through the dark Abyss descend;,"The southing of the Stars, and Polar Light,","There too, in living Sculpture, might be seen",And hear the swelling Surges vainly roar.,And gives no rest to his distracted Heart.,"In the Main Battel, with his flaming Crest,",And scarce their Walls the Trojan Troops defend:,"Mean time the Rites and Fun'ral Pomps prepare,","To weigh the chance of War, which you neglect."
line34,"Nor cou'd forget the War she wag'd of late,","Unbar their Gates, and issue in a Throng,","There, while I went to crop the Silvan Scenes,","First let avenging Jove, with Flames from high,",Sicilia lies; whose hospitable Shores,The mad Affection of the Cretan Queen:,"Now when the rosie Morn began to rise,","So when the Sun by Day, or Moon by Night,",The mighty Turnus tow'rs above the rest:,"The Town is fill'd with Slaughter, and o'refloats,",Due to your dead Companions of the War:,"You want not Wealth, or a successive Throne,"
line35,For conq'ring Greece against the Trojan State.,"Like swarming Bees, and with Delight survey",And shade our Altar with their leafy Greens;,"Drive down this Body, to the neather Sky,",In safety we may reach with strugling Oars.,Then how she cheats her bellowing Lover's Eye:,And wav'd her Saffron Streamer thro' the Skies;,"Strike, on the polish'd Brass, their trembling Light,","Silent they move; majestically slow,","With a red Deluge, their increasing Moats.","The last Respect the living can bestow,","Or Cities, which your Arms have made your own;"
line36,"Besides long Causes working in her Mind,","The Camp deserted, where the Grecians lay:",I pull'd a Plant; with horror I relate,Condemn'd with Ghosts in endless Night to lye;,"Aeneas then reply'd, too sure I find,","The rushing leap, the doubtful Progeny,","When Thetis blush'd in Purple, not her own,",The glitt'ring Species here and there divide;,"Like ebbing Nile, or Ganges in his flow.","Aeneas ignorant, and far from thence,",To shield their Shadows from Contempt below.,My Towns and Treasures are at your Command;
line37,And secret Seeds of Envy lay behind.,"The Quarters of the sev'ral Chiefs they show'd,","A Prodigy so strange, and full of Fate.",Before I break the plighted Faith I gave;,"We strive in vain against the Seas, and Wind:","The lower part a Beast, a Man above,",And from her Face the breathing Winds were blown:,And cast their dubious Beams from side to side:,The Trojans view the dusty Cloud from far;,"Has left a Camp expos'd, without Defence.",That conquer'd Earth be theirs for which they fought;,And stor'd with blooming Beauties is my Land:
line38,"Deep graven in her Heart, the Doom remain'd","Here Phoenix, here Achilles made abode,","The rooted Fibers rose; and from the Wound,","No; he who had my Vows, shall ever have;",Now shift your Sails: What place can please me more,The Monument of their polluted Love.,"A sudden Silence sate upon the Sea,","Now on the Walls, now on the Pavement play,",And the dark Menace of the distant War.,This endless outrage shall they still sustain?,And which for us with their own blood they bought.,"Laurentum more than one Lavinia sees,"
line39,"Of partial Paris, and her Form disdain'd:","Here join'd the Battels, there the Navy rode.",Black bloody Drops distill'd upon the Ground.,"For whom I lov'd on Earth, I worship in the Grave.","Than what you promise, the Sicilian Shore;",Nor far from thence he grav'd the wond'rous Maze;,"And sweeping Oars, with Strugling, urge their Way.",And to the Cieling flash the glaring Day.,"Caicus from the Rampire saw it rise,","Shall Troy renew'd be forc'd, and fir'd again?","But first the Corps of our unhappy Friend,","Unmarry'd, fair, of Noble Families."
line40,"The Grace bestow'd on ravish'd Ganimed,","Part on the Pile their wond'ring Eyes employ,","Mute, and amaz'd, my Hair with Horror stood;","She said; the Tears ran gushing from her Eyes,","Whose hallow'd Earth Anchises Bones contains,","A thousand Doors, a thousand winding Ways;","The Trojan, from the Main beheld a Wood,",'Twas Night: And weary Nature lul'd asleep,"Blackning the Fields, and thickning thro' the Skies.","A second Siege my banish'd Issue fears,",To the sad City of Evander send:,"Now let me speak; and you with Patience hear,"
line41,"Electra's Glories, and her injur'd Bed.",(The Pile by Pallas rais'd to ruin Troy.),"Fear shrunk my Sinews, and congeal'd my Blood.",And stop'd her Speech: her Sister thus replies.,And where a Prince of Trojan Lineage reigns?,"Here dwells the Monster, hid from Human View,","Which thick with Shades, and a brown Horror, stood:","The Birds of Air, and Fishes of the Deep;","Then to his Fellows thus aloud he calls,",And a new Diomede in Arms appears.,Who not inglorious in his Ages bloom,Things which perhaps may grate a Lover's Ear:
line42,"Each was a Cause alone, and all combin'd","Thymaetes first ('tis doubtful whether hir'd,","Man'd once again, another Plant I try;","O dearer than the vital Air I breath,","The Course resolv'd, before the Western Wind","Not to be found, but by the faithful Clue:","Betwixt the Trees the Tyber took his Course,","And Beasts, and Mortal Men: The Trojan Chief","What rowling Clouds, my Friends, approach the Walls?",One more audacious Mortal will be found;,Was hurry'd hence by too severe a Doom.,"But sound Advice, proceeding from a heart,"
line43,To kindle Vengeance in her haughty Mind.,Or so the Trojan Destiny requir'd),That other gush'd with the same sanguine Dye.,Will you to Grief your blooming Years bequeath?,They scud amain; and make the Port assign'd.,"'Till the kind Artist, mov'd with Pious Grief,",With Whirlpools dimpled; and with downward Force.,"Was laid on Tyber's Banks, oppress'd with Grief,","Arm, arm, and man the Works; prepare your Spears,",And I thy Daughter wait another Wound.,"Thus, weeping while he spoke, he took his Way,","Sincerely yours, and free from fraudful Art."
line44,"For this, far distant from the Latian Coast,","Mov'd that the Ramparts might be broken down,","Then, fearing Guilt, for some Offence unknown,","Condem'd to wast in Woes, your lonely Life,","Mean time Acestes, from a lofty Stand,",Lent to the loving Maid this last Relief.,"That drove the Sand along, he took his Way,",And found in silent Slumber late Relief.,And pointed Darts; the Latian Hoast appears.,"Yet, if with Fates averse, without thy Leave,","Where, new in Death, lamented Pallas lay:","The Gods, by Signs, have manifestly shown,"
line45,She drove the Remnants of the Trojan Hoast:,To lodge the fatal Engine in the Town.,With Pray'rs and Vows the Driads I attone:,"Without the Joys of Mother, or of Wife.",Beheld the Fleet descending on the Land;,"And all those erring Paths describ'd so well,",And rowl'd his yellow Billows to the Sea.,"Then, thro' the Shadows of the Poplar Wood,","Thus warn'd, they shut their Gates; with Shouts ascend",The Latian Lands my Progeny receive;,Acaetes watch'd the Corps; whose Youth deserv'd,"No Prince, Italian born, shou'd heir my Throne:"
line46,"And sev'n long Years th' unhappy wand'ring Train,","But Capys, and the rest of sounder Mind,","With all the Sisters of the Woods, and most","Think you these Tears, this pompous Train of Woe,","And not unmindful of his ancient Race,","That Theseus conquer'd, and the Monster fell.","About him, and above, and round the Wood,",Arose the Father of the Roman Flood;,"The Bulwarks, and secure their Foes attend.","Bear they the Pains of violated Law,","The Father's Trust, and now the Son he serv'd","Oft have our Augurs, in Prediction skill'd,"
line47,"Were toss'd by Storms, and scatter'd through the Main.",The fatal Present to the Flames design'd;,"The God of Arms, who rules the Thracian Coast:","Are known, or valu'd by the Ghosts below?",Down from the Cliff he ran with eager Pace;,Here hapless Icarus had found his part;,The Birds that haunt the Borders of his Flood;,"An Azure Robe was o're his Body spread,","For their wise Gen'ral with foreseeing Care,",And thy Protection from their Aid withdraw.,"With equal Faith, but less auspicious Care:","And oft our Priests, a Foreign Son reveal'd."
line48,"Such Time, such Toil requir'd the Roman Name,",Or to the watry deep: At least to bore,"That they, or he, these Omens wou'd avert;","I grant, that while your Sorrows yet were green,",And held the Heroe in a strict Embrace.,Had not the Father's Grief restrain'd his Art.,"That bath'd within, or bask'd upon his side,",A Wreath of shady Reeds adorn'd his Head:,Had charg'd them not to tempt the doubtful War:,"But if the Gods their sure Success foretel,","Th' Attendants of the slain, his Sorrow share.","Yet, won by Worth, that cannot be withstood,"
line49,Such length of Labour for so vast a Frame.,"The hollow sides, and hidden Frauds explore:","Release our Fears, and better signs impart.","It well became a Woman, and a Queen,",Of a rough Lybian Bear the Spoils he wore;,He twice essay'd to cast his Son in Gold;,To tuneful Songs their narrow Throats apply'd.,"Thus, manifest to Sight, the God appear'd▪","Nor, tho' provok'd, in open Fields advance;","If those of Heav'n consent with those of Hell,","A Troop of Trojans mix'd with these appear,","Brib'd by my Kindness to my kindred Blood,"
line50,"Now scarce the Trojan Fleet with Sails and Oars,","The giddy Vulgar, as their Fancies guide,","Clear'd, as I thought, and fully fix'd at length","The Vows of Tyrian Princes to neglect,",And either Hand a pointed Jav'lin bore.,Twice from his Hands he drop'd the forming Mould.,"The Captain gives Command, the joyful Train",And with these pleasing Words his Sorrow chear'd.,But close within their Lines attend their chance.,To promise Italy; who dare debate,And mourning Matrons with dishevell'd Hair.,"Urg'd by my Wife, who wou'd not be deny'd;"
line51,Had left behind the Fair Sicilian Shoars:,"With Noise say nothing, and in parts divide.","To learn the Cause, I tug'd with all my Strength;","To scorn Hyarbas, and his Love reject;",His Mother was a Dame of Dardan Blood;,All this with wond'ring Eyes Aeneas view'd:,"Glide thro' the gloomy Shade, and leave the Main.","Undoubted Off-spring of Etherial Race,","Unwilling, yet they keep the strict Command;","The Pow'r of Jove, or fix another Fate?","Soon as the Prince appears, they raise a Cry;",I promis'd my Lavinia for your Bride:
line52,"Ent'ring with chearful Shouts the wat'ry Reign,","Iaocoon, follow'd by a num'rous Crowd,",I bent my knees against the Ground; once more,"With all the Lybian Lords of mighty Name,","His Sire Crinisus, a Sicilian Flood;",Each varying Object his Delight renew'd.,"Now, Erato, thy Poet's Mind inspire,","O long expected in this promis'd Place,",And sourly wait in Arms the Hostile Band.,"What shou'd I tell of Tempests on the Main,","All beat their Breasts, and Echoes rend the Sky.",Her from her plighted Lord by force I took;
line53,And ploughing frothy Furrows in the Main:,"Ran from the Fort; and cry'd, from far, aloud;",The violated Myrtle ran with purple Gore.,But will you fight against a pleasing Flame!,He welcomes his returning Friends ashore,"Prepar'd to read the rest, Achates came,",And fill his Soul with thy Coelestial Fire.,"Who, thro the Foes, hast born thy banish'd Gods,","The fiery Turnus flew before the rest,",Of Eolus usurping Neptune's Reign?,They rear his drooping Forehead from the Ground;,"All tyes of Treaties, and of Honour broke:"
line54,"When lab'ring still, with endless discontent,",O wretched Country-men! what Fury reigns?,Scarce dare I tell the Sequel: From the Womb,"This little Spot of Land, which Heav'n bestows,",With plenteous Country Cates; and homely Store.,And by his side the mad divining Dame;,"Relate what Latium was, her ancient Kings:","Restor'd them to their Hearths, and old Abodes;",A Pye-ball'd Steed of Thracian Strain he press'd;,"Of Iris sent; with Bachanalian Heat,",But when Aeneas view'd the grisly Wound,"On your Account I wag'd an impious War,"
line55,The Queen of Heav'n did thus her Fury vent.,What more than Madness has possess'd your Brains?,"Of wounded Earth, and Caverns of the Tomb,",On ev'ry side is hemm'd with warlike Foes:,"Now, when the following Morn had chas'd away","The Priestess of the God, Deiphobe her Name.","Declare the past, and present State of things,",This is thy happy Home! The Clime where Fate,His Helm of massy Gold; and Crimson was his Crest.,"T' inspire the Matrons, and destroy the Fleet.","Which Pallas in his Manly Bosom bore,",With what Success 'tis needless to declare;
line56,"Then am I vanquish'd, must I yield, said she,","Think you the Grecians from your Coasts are gone,","A Groan, as of a troubled Ghost, renew'd",Getulian Cities here are spread around;,"The flying Stars, and light restor'd the Day,","Time suffers not, she said, to feed your Eyes",When first the Trojan Fleet Ausonia sought;,Ordains thee to restore the Trojan State.,"With twenty Horse to fecond his Designs,","Now Juno to the Stygian Sky descends,",And the fair Flesh distain'd with Purple Gore:,"I, and my Subjects feel; and you have had your Share."
line57,And must the Trojans reign in Italy?,And are Ulysses Arts no better known?,"My Fright, and then these dreadful Words ensu'd.",And fierce Numidians there your Frontiers bound;,Aeneas call'd the Trojan Troops around;,With empty Pleasures: haste the Sacrifice.,"And how the Rivals lov'd, and how they fought.","Fear not, the War shall end in lasting Peace;","An unexpected Foe, he fac'd the Lines.","Sollicites Hell for Aid, and arms the Fiends.","First, melting into Tears, the pious Man","Twice vanquish'd, while in bloody Fields we strive,"
line58,"So Fate will have it, and Jove adds his Force;","This hollow Fabrick either must inclose,",Why dost thou thus my bury'd Body rend?,"Here lies a barren Wast of thirsty Land,",And thus bespoke them from a rising Ground.,"Sev'n Bullocks yet unyok'd, for Phoebus chuse,","These are my Theme, and how the War began,",And all the Rage of haughty Juno cease.,"Is there, he said, in Arms who bravely dare,",That new Example wanted yet above:,"Deplor'd so sad a sight, then thus began.","Scarce in our Walls, we keep our Hopes alive:"
line59,Nor can my Pow'r divert their happy Course.,"Within its blind Recess, our secret Foes;",O spare the Corps of thy unhappy Friend!,And there the Syrtes raise the moving Sand:,"Off-spring of Heav'n, Divine Dardanian Race,",And for Diana sev'n unspotted Ewes.,And how concluded by the Godlike Man.,And that this nightly Vision may not seem,"His Leader's Honour, and his Danger share?",An Act that well became the Wife of Jove.,Unhappy Youth! When Fortune gave the rest,The rowling Flood runs warm with human Gore;
